chr	start	end	width	strand	Conc	Conc_KO	Conc_WT	Fold	p.value	FDR
chr7	20042546	20044096	1551	*	7.916092524	8.170002112	7.607744347	0.562257765	0.001816424	0.091806525
chr11	77796310	77797915	1606	*	8.543224814	8.798757712	8.232476349	0.566281363	0.001076602	0.069248097
chr1	134034372	134036395	2024	*	8.312162892	8.568126316	8.000776709	0.567349608	0.001273368	0.076352128
chr6	17413458	17415038	1581	*	7.614241512	7.875897897	7.294377984	0.581519914	0.002103531	0.098204244
chr12	85532835	85534847	2013	*	8.252877416	8.516440636	7.930155737	0.586284899	0.001238936	0.074968915
chr5	73646268	73647858	1591	*	7.964366029	8.233974635	7.632520119	0.601454515	0.001613341	0.085888415
chr9	44542431	44543330	900	*	7.397566175	7.667857456	7.064683862	0.603173594	0.002124432	0.098852702
chr3	51143172	51145204	2033	*	8.309135864	8.579848315	7.975613537	0.604234778	0.000982493	0.066596985
chr7	25247477	25249358	1882	*	7.998029465	8.268846335	7.664348387	0.604497948	0.00059503	0.05001061
chr4	132567121	132568359	1239	*	7.825223995	8.101529412	7.483157642	0.61837177	0.001308562	0.077518581
chr17	6475131	6476518	1388	*	8.824680316	9.102833773	8.479772347	0.623061426	0.00205774	0.097683743
chr4	141345918	141346826	909	*	7.480231366	7.760957196	7.13135259	0.629604605	0.001078934	0.069248097
chr5	76733108	76734594	1487	*	7.958669111	8.243206824	7.603872896	0.639333928	0.001594154	0.085888415
chr7	52123725	52125122	1398	*	7.197513351	7.482063694	6.842697465	0.639366229	0.002176135	0.099729722
chr9	40964884	40965979	1096	*	7.296707202	7.582396071	6.940116105	0.642279966	0.001605729	0.085888415
chr5	125343076	125344347	1272	*	7.588043244	7.874716243	7.229914778	0.644801465	0.000534418	0.048299745
chr6	89593701	89595249	1549	*	6.890171759	7.179220998	6.528320125	0.650900873	0.001448289	0.082005756
chr1	173002059	173003682	1624	*	8.157915928	8.452086224	7.787986614	0.66409961	0.001285692	0.076485082
chr6	135015660	135017189	1530	*	7.375599824	7.671401033	7.003082419	0.668318614	0.001104928	0.06999854
chr11	98063676	98064448	773	*	7.466788491	7.764172823	7.091751575	0.672421248	0.000902652	0.063632468
chr2	65075456	65076474	1019	*	6.908320685	7.206747583	6.531620627	0.675126955	0.001902918	0.094468111
chr2	91022368	91023381	1014	*	6.819270261	7.118218471	6.441737413	0.676481058	0.001611506	0.085888415
chr5	123228272	123229350	1079	*	6.918417951	7.219029288	6.538223046	0.680806242	0.001350124	0.079314157
chr10	42892680	42893932	1253	*	6.480168766	6.785247539	6.092783414	0.692464125	0.001780434	0.090622173
chr7	133646116	133646845	730	*	7.837546246	8.14457135	7.447009981	0.697561369	0.001381778	0.08050284
chr16	17927314	17928738	1425	*	7.928449217	8.241328294	7.528368415	0.712959879	0.000243304	0.028586142
chr4	116667786	116668705	920	*	7.000724641	7.320243975	6.589692827	0.730551147	0.001001609	0.067246144
chr13	46058758	46060370	1613	*	7.890034765	8.209609208	7.478911506	0.730697702	0.000531522	0.048299745
chr1	172994440	172996112	1673	*	8.305277454	8.626765723	7.890972699	0.735793024	0.000830921	0.061335883
chr12	76918853	76920564	1712	*	7.854768731	8.17918897	7.435568067	0.743620904	3.61E-05	0.010043949
chr6	120413084	120414261	1178	*	7.271529573	7.596179627	6.851944032	0.744235595	0.000175469	0.024989236
chr4	137881580	137882558	979	*	6.855795847	7.189680181	6.420608419	0.769071762	0.001388996	0.080590375
chr11	118883951	118885311	1361	*	7.048633425	7.382649784	6.613220975	0.769428809	0.000539683	0.04846491
chr17	24277397	24279145	1749	*	7.604345187	7.941514194	7.163542817	0.777971377	4.08E-05	0.010282448
chr15	76058705	76059941	1237	*	6.75322602	7.090798409	6.311731704	0.779066705	0.000293375	0.031817674
chr17	13898003	13899124	1122	*	6.694655215	7.032260776	6.253103971	0.779156805	0.000697833	0.054659675
chrX	18813651	18814989	1339	*	6.410451812	6.750536854	5.964635507	0.785901346	0.000578995	0.049775928
chr8	124955514	124957017	1504	*	7.254301174	7.596347535	6.805096948	0.791250587	0.00071504	0.055406336
chr5	113566602	113568217	1616	*	6.336498433	6.680175546	5.884467708	0.795707838	0.000492184	0.04565328
chr15	88650034	88651099	1066	*	7.112396139	7.458542303	6.656069257	0.802473046	4.85E-05	0.011596626
chr4	132767725	132768968	1244	*	6.540830508	6.892437913	6.074928988	0.817508925	0.000474267	0.044577964
chr15	80934156	80935720	1565	*	5.881251676	6.236001324	5.409795677	0.826205647	0.000960381	0.065412646
chr2	152776916	152777766	851	*	5.746856981	6.101916145	5.27485204	0.827064105	0.002045425	0.097582191
chr11	76435528	76437058	1531	*	6.428256587	6.784073459	5.95490644	0.82916702	0.000413506	0.040728805
chr7	126138127	126138655	529	*	5.53185917	5.892516051	5.049869719	0.842646332	0.002178648	0.099729722
chr6	115311071	115311899	829	*	5.729205151	6.089950713	5.247056651	0.842894062	0.001065503	0.069248097
chr19	3851814	3852230	417	*	5.846144912	6.207686388	5.362567725	0.845118663	0.001437439	0.082005756
chr6	128093709	128094266	558	*	5.704399148	6.067095427	5.218745134	0.848350292	0.001107148	0.06999854
chr1	136456603	136457946	1344	*	7.825948672	8.189204959	7.339285849	0.84991911	0.000109388	0.018581458
chr9	110556171	110556639	469	*	5.908113604	6.27772413	5.409926736	0.867797394	0.002020184	0.097214834
chr14	57675963	57677188	1226	*	5.95514699	6.325500851	5.455602643	0.869898208	0.000559173	0.049338679
chr13	112279787	112280281	495	*	5.861732081	6.233912965	5.358842798	0.875070167	0.00066917	0.053303001
chr2	71625138	71626521	1384	*	7.03404159	7.407731504	6.528380488	0.879351017	4.50E-05	0.010926968
chr6	51420102	51420453	352	*	5.392443844	5.767359995	4.884524298	0.882835697	0.001880932	0.094039906
chr13	48641479	48641888	410	*	6.073774221	6.450421239	5.562657506	0.887763732	0.002001642	0.097214834
chr11	102680458	102681297	840	*	6.215882881	6.593188805	5.703546195	0.88964261	0.000182448	0.025017685
chr5	138181849	138182268	420	*	5.734773006	6.114051233	5.218775059	0.895276175	0.001234772	0.074968915
chr2	103809555	103811378	1824	*	5.879951422	6.25997414	5.362567725	0.897406414	0.000863117	0.062754685
chr11	87912890	87913674	785	*	6.363677329	6.744210337	5.845342625	0.898867712	0.000101146	0.017825659
chr3	91884375	91885843	1469	*	6.454694594	6.837210883	5.932654564	0.904556319	0.000342105	0.035995042
chr12	31760044	31760918	875	*	6.104833347	6.492989489	5.572176052	0.920813437	0.000108839	0.018581458
chr7	135110994	135111408	415	*	6.99123956	7.38181823	6.453984808	0.927833422	0.000190417	0.025656398
chr4	133308551	133309380	830	*	6.65357465	7.044852891	6.114988085	0.929864806	0.000305627	0.032834034
chr10	32609006	32610775	1770	*	6.738641457	7.134173433	6.19191624	0.942257193	9.40E-06	0.004275558
chr15	96118040	96118552	513	*	6.319169952	6.716378648	5.769217384	0.947161264	8.72E-05	0.016523368
chr9	95537704	95538642	939	*	6.000327978	6.398358914	5.448788744	0.94957017	0.001672162	0.088375754
chr4	128924862	128925529	668	*	5.68407771	6.085530028	5.125907716	0.959622312	0.00056691	0.049338679
chrX	12857713	12858797	1085	*	7.250489243	7.652173307	6.691868441	0.960304866	5.30E-06	0.002667626
chr8	123061240	123061670	431	*	5.175127168	5.581696292	4.606953739	0.974742552	0.000873342	0.062754685
chr12	74685485	74686488	1004	*	6.193725572	6.60183214	5.622525837	0.979306303	8.05E-05	0.015977122
chr5	97425932	97426383	452	*	5.239057572	5.650056647	4.662138164	0.987918483	0.000779846	0.058635066
chr17	63849089	63849617	529	*	5.281571556	5.698946719	4.691922335	1.007024384	0.001717805	0.088391733
chr8	73328253	73328988	736	*	5.598404583	6.018559772	5.003151917	1.015407855	0.000179843	0.025017685
chr6	28211570	28211959	390	*	5.84284892	6.263227446	5.247144678	1.016082769	0.000412787	0.040728805
chr7	134890075	134891091	1017	*	6.436032343	6.857850561	5.837412039	1.020438522	6.42E-05	0.013853887
chr4	129190910	129192297	1388	*	7.026197261	7.449707512	6.4241385	1.025569011	3.31E-06	0.002221205
chr16	94791230	94791638	409	*	5.680108473	6.104069478	5.077131649	1.026937829	8.79E-05	0.016523368
chr11	68199421	68200322	902	*	5.207362692	5.63310416	4.600751015	1.032353145	0.000748246	0.057334384
chr11	102178193	102178963	771	*	6.577711141	7.004185132	5.969600032	1.0345851	8.46E-05	0.016523368
chr3	33918993	33919306	314	*	5.607817866	6.039519561	4.988938162	1.050581399	0.001533847	0.084146719
chr12	87039061	87039579	519	*	4.821748729	5.259671272	4.189897421	1.069773851	0.001480608	0.082836816
chr12	113858020	113858915	896	*	4.841799298	5.281355493	4.206512753	1.07484274	0.00169203	0.088375754
chrX	131543346	131543831	486	*	5.329324707	5.769904672	4.69187922	1.078025452	0.00020459	0.026567779
chr4	107107256	107108053	798	*	5.911039608	6.354782103	5.266894707	1.087887396	2.78E-05	0.008767819
chr5	149864025	149864702	678	*	5.876025961	6.320185884	5.230993363	1.089192522	0.000113137	0.018766038
chr3	106838798	106839814	1017	*	5.683049568	6.128136325	5.036043105	1.09209322	9.72E-05	0.017419525
chr4	100741338	100742418	1081	*	5.348297422	5.795023995	4.697788911	1.097235084	0.000715225	0.055406336
chr4	149319010	149320023	1014	*	5.703625841	6.154018832	5.045241807	1.108777025	2.42E-05	0.008767819
chr3	119485847	119486245	399	*	5.329948386	5.787424766	4.656168702	1.131256064	0.001016522	0.067603516
chr6	118146821	118147604	784	*	4.817971448	5.277783956	4.139061231	1.138722724	0.001445941	0.082005756
chr6	31075255	31076488	1234	*	6.174994337	6.636083454	5.493269219	1.142814235	1.46E-06	0.00146726
chr11	96607167	96608772	1606	*	7.327736148	7.789078882	6.645450856	1.143628026	1.34E-08	2.35E-05
chr4	45542901	45543265	365	*	5.803921122	6.265273829	5.121613795	1.143660034	3.22E-05	0.009450561
chr2	122463540	122464266	727	*	4.960440534	5.42508413	4.270835565	1.154248565	0.00024863	0.028733037
chr2	168566358	168567265	908	*	5.491025791	5.958921744	4.79415568	1.164766064	5.16E-05	0.01213217
chr10	5959015	5959282	268	*	5.022666989	5.497602732	4.309887924	1.187714807	0.000271255	0.03011353
chr18	39649154	39649444	291	*	5.456686474	5.934102302	4.738242013	1.195860289	2.86E-05	0.008767819
chr11	79343055	79344188	1134	*	5.052857035	5.537677693	4.317304845	1.220372848	0.000595213	0.05001061
chr5	34530013	34530283	271	*	4.694433215	5.180910222	3.955014225	1.225895998	0.001144727	0.071413762
chr6	90937705	90938296	592	*	4.27655496	4.77995426	3.496761858	1.283192402	0.001466215	0.082688667
chr5	143178082	143178586	505	*	4.516928465	5.026880604	3.721061782	1.305818822	0.000426384	0.041459224
chrX	68809146	68809709	564	*	5.067600992	5.587381589	4.247144678	1.340236911	3.74E-05	0.010043949
chr1	75396598	75397448	851	*	5.073597104	5.636083454	4.138997982	1.497085472	2.94E-06	0.002072337
chr9	57493177	57493578	402	*	5.44657462	6.00968647	4.510208424	1.499478046	9.91E-07	0.001074876
chr6	55401946	55402826	881	*	5.358581781	6.007531742	4.147596429	1.859935312	1.32E-09	3.09E-06
